Word,Level,Weight,Length,Start,End
dichroism,1,1.42760869,1,2018,2018
creation,1,1.825782408,1,2018,2018
biochemistri,1,2.457343552,1,2018,2018
blackwel,1,1.635552687,1,2018,2018
acinetobact,1,1.582303988,2,2019,2020
ehu,1,1.84004644,1,2020,2020
emt,1,1.779200931,2,2019,2020
strand,1,1.66918474,2,2019,2020
prenat,1,1.900093755,2,2019,2020
fas,1,2.015721727,1,2018,2018
c4,1,1.501927579,1,2020,2020
mcf7,1,1.399423736,2,2019,2020
dion,1,1.510699373,1,2018,2018
chaetomium,1,1.510699373,1,2018,2018
microalga,1,1.521335207,1,2020,2020
vibrio,1,1.69536566,1,2018,2018
remov,1,1.416215,1,2020,2020
quiescenc,1,1.510699373,1,2018,2018
replac,1,1.875120103,1,2018,2018
mycobacteria,1,1.569972963,1,2018,2018
lake,1,1.569972963,1,2018,2018
cholera,1,2.268230017,1,2018,2018
adsorb,1,1.862232908,1,2020,2020
nhej,1,1.510699373,1,2018,2018
semen,1,1.635552687,1,2018,2018
prokaryot,1,1.399423736,2,2019,2020
hek293,1,1.445031871,1,2018,2018
histon,1,3.68313171,1,2018,2018
western,1,2.258986262,1,2018,2018
electromagnet,1,1.445031871,1,2018,2018
coronavirus,1,3.431379291,1,2020,2020
himach,1,2.015721727,1,2018,2018
nanocomposit,1,1.862232908,1,2020,2020
kit,1,2.141747753,1,2018,2018
graphic,1,1.766665399,1,2020,2020
district,1,1.755236635,1,2018,2018
virolog,1,1.445031871,1,2018,2018
incur,1,1.576099616,1,2020,2020
elucid,1,1.952610947,2,2019,2020
pradesh,1,2.648676905,1,2018,2018
glial,1,1.886613915,1,2018,2018
superfamili,1,2.077568467,1,2018,2018
depolar,1,1.760856722,1,2018,2018
criteria,1,1.576099616,1,2020,2020
threaten,1,3.260541658,2,2019,2020
xylos,1,1.935811431,1,2020,2020
somat,1,2.012826721,1,2018,2018
blot,1,2.52053499,1,2018,2018
paramount,1,1.671287554,1,2020,2020
fatal,1,1.501927579,1,2020,2020
pla,1,1.510699373,1,2018,2018
freez,1,1.521612887,2,2019,2020
zebrafish,1,1.821212404,1,2018,2018
alpin,1,1.900093755,2,2019,2020
arthriti,1,1.521612887,2,2019,2020
hypersensit,1,1.839781184,2,2019,2020
qtl,1,2.200699935,1,2020,2020
fibroin,1,1.521612887,2,2019,2020
reciproc,1,1.445031871,1,2018,2018
oxford,1,1.399423736,2,2019,2020
spread,1,1.787450869,1,2020,2020
cytometri,1,2.098196091,2,2019,2020
organell,1,1.629302355,1,2018,2018
smooth,1,1.760856722,1,2018,2018
half,1,1.755236635,1,2018,2018
asian,1,1.501927579,1,2020,2020
concert,1,1.825782408,1,2018,2018
eastern,1,1.503822997,1,2018,2018
pseudo,1,1.862232908,1,2020,2020
upv,1,1.84004644,1,2020,2020
recapitul,1,1.635552687,1,2018,2018
irrevers,1,1.886613915,1,2018,2018
covid-19,1,4.23200011,1,2020,2020
retent,1,1.755236635,1,2018,2018
cov-2,1,4.23200011,1,2020,2020
antiprolif,1,1.886613915,1,2018,2018
ramaswami,1,1.596915007,1,2020,2020
recurr,1,1.787450869,1,2020,2020
cofactor,1,1.445031871,1,2018,2018
dehydr,1,2.200699935,1,2020,2020
contrast,1,1.845676243,1,2018,2018
tendenc,1,2.104356341,1,2020,2020
aminotransferas,1,2.015721727,1,2018,2018
head,1,1.503822997,1,2018,2018
salin,1,1.882998707,1,2020,2020
feder,1,2.012826721,1,2018,2018
destabil,1,1.951448086,1,2018,2018
union,1,3.925294741,1,2018,2018
penetr,1,1.629302355,1,2018,2018
entiti,1,1.886613915,1,2018,2018
depict,1,1.42760869,1,2018,2018
meiosi,1,1.760856722,1,2018,2018
opportunist,1,1.399423736,2,2019,2020
duplex,1,1.900093755,2,2019,2020
pharmaci,1,1.582303988,2,2019,2020
fusion,1,1.755236635,1,2018,2018
compromis,1,2.522283764,1,2018,2018
devic,1,1.42760869,1,2018,2018
atyp,1,1.399423736,2,2019,2020
daili,1,2.031768619,1,2020,2020
asthma,1,2.331756416,1,2018,2018
silenc,1,2.069498312,1,2018,2018
cytotox,1,1.501189484,1,2018,2018
effector,1,2.008479839,1,2018,2018
spermatozoa,1,1.510699373,1,2018,2018
a549,1,2.331183216,1,2018,2018
breast,1,2.603978414,2,2019,2020
respiratori,1,2.660391564,1,2020,2020
sarma,1,1.596915007,1,2020,2020
tempor,1,1.815157583,1,2018,2018
crystallographi,1,1.445031871,1,2018,2018
dimens,1,1.69536566,1,2018,2018
abnorm,1,2.069498312,1,2018,2018
uncharacter,1,1.445031871,1,2018,2018
segreg,1,2.331183216,1,2018,2018
nitrat,1,1.521335207,1,2020,2020
alanin,1,2.012826721,1,2018,2018
cumul,1,1.460653349,2,2019,2020
oxidas,1,1.42760869,1,2018,2018
sorghum,1,1.766665399,1,2020,2020
venom,1,1.569972963,1,2018,2018
biopolym,1,1.399423736,2,2019,2020
adsorpt,1,2.320790963,1,2020,2020
pigmentosa,1,1.510699373,1,2018,2018
owner,1,1.460653349,2,2019,2020
machineri,1,1.991321326,2,2019,2020
distinguish,1,1.399423736,2,2019,2020
captur,1,2.41751445,1,2020,2020
pandem,1,3.964757405,1,2020,2020
event,1,2.843781105,1,2018,2018
space,1,1.629302355,1,2018,2018
frequenc,1,1.601139192,1,2018,2018
public,1,1.500607536,1,2020,2020
label,1,3.946517338,1,2018,2018
hypothes,1,2.779811064,1,2018,2018
morbid,1,1.503822997,1,2018,2018
antivir,1,1.426556994,1,2020,2020
aspergillus,1,2.393970394,1,2020,2020
cat,1,1.825782408,1,2018,2018
